Date,Open,High,Low,Close,Adj Close,Volume
2016-08-19,4.114290,4.114290,4.071430,4.071430,3.856731,232867
2016-08-22,4.071430,4.092860,4.050000,4.071430,3.856731,135567
2016-08-23,4.071430,4.092860,4.071430,4.071430,3.856731,675033
2016-08-24,4.071430,4.157140,4.071430,4.157140,3.937921,184100
2016-08-25,4.178570,4.178570,4.071430,4.071430,3.856731,463400
2016-08-26,4.114290,5.271430,4.114290,5.057140,4.790461,39958800
2016-08-29,5.057140,5.442860,4.842860,4.971430,4.808150,20991367
2016-08-30,4.971430,5.228570,4.928570,4.971430,4.808150,7566067
2016-08-31,5.014290,5.185710,4.928570,5.057140,4.891046,4357967
2016-09-01,5.228570,5.228570,4.800000,4.971430,4.909106,4990767
2016-09-02,4.971430,4.971430,4.628570,4.671430,4.612867,1894200
2016-09-05,4.671430,4.671430,3.942860,4.242860,4.189670,1520867
2016-09-06,4.371430,4.457140,4.242860,4.371430,4.316628,1423567
2016-09-07,4.371430,4.500000,4.285710,4.285710,4.231983,1393233
2016-09-08,4.285710,4.328570,4.157140,4.178570,4.126185,1332800
2016-09-09,4.157140,4.264290,4.157140,4.221430,4.168508,775133
2016-09-12,4.157140,4.200000,4.157140,4.200000,4.147347,932400
2016-09-13,4.221430,4.264290,4.221430,4.221430,4.168508,255733
2016-09-14,4.264290,4.500000,4.242860,4.371430,4.316628,1520400
2016-09-15,4.414290,4.585710,4.414290,4.585710,4.528222,1771933
2016-09-16,4.800000,4.842860,4.542860,4.542860,4.485909,8871333
2016-09-19,4.585710,4.585710,4.414290,4.500000,4.443586,2227400
2016-09-20,4.500000,4.500000,4.371430,4.414290,4.358951,813167
2016-09-21,4.500000,4.885710,4.500000,4.757140,4.697503,8647100
2016-09-22,4.757140,4.885710,4.757140,4.885710,4.824461,2501100
2016-09-23,4.885710,4.885710,4.628570,4.757140,4.697503,5727167
2016-09-26,4.757140,4.885710,4.757140,4.757140,4.697503,1550733
2016-09-27,4.757140,4.842860,4.671430,4.714290,4.655190,1579200
2016-09-28,4.714290,4.842860,4.671430,4.714290,4.655190,1814400
2016-09-29,4.757140,5.485710,4.757140,5.271430,5.205345,29645467
2016-09-30,5.228570,5.528570,5.142860,5.357140,5.289981,31050833
2016-10-03,5.485710,5.785710,5.442860,5.742860,5.670865,40069867
2016-10-04,5.828570,6.042860,5.571430,5.571430,5.501585,37658133
2016-10-05,5.657140,5.742860,5.528570,5.571430,5.501585,15366633
2016-10-06,5.571430,5.742860,5.485710,5.742860,5.670865,14956900
2016-10-07,5.700000,5.785710,5.571430,5.742860,5.670865,17250800
2016-10-10,5.185710,5.400000,5.100000,5.100000,5.036064,16514633
2016-10-11,5.271430,5.271430,4.757140,4.842860,4.782148,13219033
2016-10-12,4.842860,4.971430,4.371430,4.671430,4.612867,19593933
2016-10-13,4.585710,4.971430,4.371430,4.971430,4.909106,9544733
2016-10-14,5.228570,5.485710,5.057140,5.400000,5.332304,11238500
2016-10-17,5.442860,5.571430,5.357140,5.485710,5.416939,3990933
2016-10-18,5.485710,5.528570,5.400000,5.442860,5.374626,2359933
2016-10-19,5.571430,5.785710,5.485710,5.657140,5.586219,8283800
2016-10-20,5.700000,5.700000,5.571430,5.571430,5.501585,3598700
2016-10-21,5.614290,5.657140,5.442860,5.485710,5.416939,2857167
2016-10-25,5.485710,5.528570,5.271430,5.400000,5.332304,3432100
2016-10-26,5.400000,5.571430,5.357140,5.442860,5.374626,3062033
2016-10-27,5.485710,5.657140,5.442860,5.571430,5.501585,7622067
2016-10-28,5.571430,5.742860,5.442860,5.442860,5.374626,15243667
2016-10-31,5.485710,5.571430,5.442860,5.485710,5.416939,2547067
2016-11-01,5.485710,5.528570,5.357140,5.357140,5.289981,2906633
2016-11-02,5.357140,5.400000,5.185710,5.357140,5.289981,5565467
2016-11-03,5.357140,5.357140,5.271430,5.314290,5.247667,1930367
2016-11-04,5.314290,5.314290,5.228570,5.314290,5.247667,1756767
2016-11-07,5.357140,5.400000,5.228570,5.271430,5.205345,2931133
2016-11-08,5.271430,5.528570,5.271430,5.528570,5.459262,7380567
2016-11-09,5.485710,5.785710,5.314290,5.528570,5.459262,28539700
2016-11-10,5.571430,5.871430,5.571430,5.785710,5.713178,29526233
2016-11-11,5.742860,5.828570,5.571430,5.571430,5.501585,15530200
2016-11-14,5.528570,5.742860,5.400000,5.400000,5.332304,19088533
2016-11-15,5.528570,5.528570,5.314290,5.314290,5.247667,6090467
2016-11-16,5.357140,5.400000,5.314290,5.357140,5.289981,2983633
2016-11-17,5.357140,5.485710,5.314290,5.357140,5.289981,2006200
2016-11-18,5.357140,5.442860,5.314290,5.357140,5.289981,1799700
2016-11-21,5.357140,5.485710,5.357140,5.485710,5.416939,1972600
2016-11-22,5.528570,5.571430,5.357140,5.400000,5.332304,3046867
2016-11-23,5.442860,5.742860,5.442860,5.528570,5.459262,11933133
2016-11-24,5.857140,5.892860,5.714290,5.714290,5.680775,9679460
2016-11-25,5.714290,6.035710,5.714290,5.750000,5.716275,12429340
2016-11-28,5.785710,5.785710,5.714290,5.714290,5.680775,1971900
2016-11-29,5.750000,5.928570,5.678570,5.678570,5.645264,14029540
2016-11-30,5.714290,5.821430,5.678570,5.785710,5.751776,5729080
2016-12-01,5.785710,5.821430,5.678570,5.714290,5.680775,8939420
2016-12-02,5.714290,5.750000,5.571430,5.571430,5.538753,2036160
2016-12-06,5.571430,5.750000,5.571430,5.750000,5.716275,1536500
2016-12-07,5.750000,5.928570,5.678570,5.857140,5.822787,10480960
2016-12-08,5.892860,5.892860,5.750000,5.785710,5.751776,2564660
2016-12-09,5.785710,5.857140,5.750000,5.750000,5.716275,1308440
2016-12-13,5.750000,5.785710,5.642860,5.678570,5.645264,2937200
2016-12-14,5.678570,5.678570,5.642860,5.678570,5.645264,430500
2016-12-15,5.714290,5.821430,5.678570,5.678570,5.645264,1620640
2016-12-16,5.678570,5.750000,5.678570,5.714290,5.680775,493220
2016-12-19,5.714290,5.750000,5.678570,5.750000,5.716275,210280
2016-12-20,5.750000,5.750000,5.642860,5.642860,5.609764,599340
2016-12-21,5.678570,5.714290,5.607140,5.607140,5.574253,1283380
2016-12-22,5.642860,5.678570,5.607140,5.607140,5.574253,332220
2016-12-23,5.678570,5.678570,5.607140,5.678570,5.645264,759360
2016-12-26,5.678570,5.678570,5.607140,5.642860,5.609764,516040
2016-12-27,5.714290,5.714290,5.642860,5.678570,5.645264,471800
2016-12-28,5.642860,5.714290,5.642860,5.714290,5.680775,686140
2016-12-29,5.750000,5.928570,5.714290,5.714290,5.680775,5766320
2016-12-30,5.750000,5.785710,5.678570,5.714290,5.680775,1459360
2017-01-04,5.714290,5.821430,5.714290,5.785710,5.751776,2137940
2017-01-05,5.750000,6.107140,5.750000,6.035710,6.000309,31645180
2017-01-06,6.107140,6.142860,6.000000,6.000000,5.964809,26760860
2017-01-09,6.000000,6.035710,5.857140,5.892860,5.858297,7126280
2017-01-10,5.892860,6.071430,5.857140,6.035710,6.000309,9988300
2017-01-11,6.107140,6.357140,6.107140,6.214290,6.177842,27342140
2017-01-12,6.285710,6.428570,6.250000,6.250000,6.213343,40772620
2017-01-16,6.285710,6.321430,6.214290,6.285710,6.248843,12370820
2017-01-17,6.285710,6.642860,6.285710,6.500000,6.461876,40658380
2017-01-18,6.500000,6.964290,6.500000,6.928570,6.887932,39591300
2017-01-19,6.928570,7.000000,6.714290,6.928570,6.887932,13188840
2017-01-20,7.000000,7.714290,6.964290,7.500000,7.456011,30778720
2017-01-23,7.571430,7.571430,7.357140,7.500000,7.456011,8361780
2017-01-24,7.642860,8.142860,7.571430,7.928570,7.882067,27689060
2017-01-25,7.928570,8.142860,7.714290,7.928570,7.882067,13094620
2017-01-26,7.857140,8.000000,7.642860,7.857140,7.811057,8337280
2017-01-27,7.857140,8.000000,7.785710,7.857140,7.811057,3643920
2017-01-30,8.000000,8.571430,8.000000,8.428570,8.379135,6770820
2017-01-31,8.214290,8.428570,8.142860,8.357140,8.308124,2574880
2017-02-01,8.571430,8.785710,8.428570,8.428570,8.379135,4451160
2017-02-02,8.500000,8.500000,8.428570,8.428570,8.379135,1735720
2017-02-03,8.428570,8.714290,8.428570,8.500000,8.450146,1923600
2017-02-06,8.500000,8.500000,7.357140,8.000000,7.953079,12975200
2017-02-07,8.071430,8.071430,7.714290,7.857140,7.811057,2570260
2017-02-08,7.928570,8.071430,7.785710,7.857140,7.811057,1673000
2017-02-09,7.714290,7.928570,7.714290,7.857140,7.811057,2584260
2017-02-10,8.071430,8.357140,7.857140,8.357140,8.308124,3516100
2017-02-13,8.357140,8.357140,8.357140,8.357140,8.308124,0
2017-02-14,8.214290,8.500000,8.071430,8.357140,8.308124,2603720
2017-02-15,8.142860,8.357140,8.142860,8.214290,8.166111,2584540
2017-02-16,8.214290,8.214290,8.071430,8.071430,8.024090,575260
2017-02-17,7.928570,7.928570,7.714290,7.785710,7.740045,1997660
2017-02-20,7.714290,8.071430,7.642860,8.071430,8.024090,3445960
2017-02-21,8.071430,8.071430,7.857140,7.928570,7.882067,181160
2017-02-22,7.928570,7.928570,7.785710,7.857140,7.811057,196000
2017-02-23,7.785710,8.071430,7.714290,7.928570,7.882067,814660
2017-02-24,7.928570,8.000000,7.714290,8.000000,7.953079,727720
2017-02-27,8.142860,8.142860,7.785710,7.785710,7.740045,197820
2017-02-28,7.714290,7.857140,7.714290,7.714290,7.669044,388640
2017-03-01,7.857140,8.000000,7.714290,7.785710,7.740045,1955940
2017-03-02,7.857140,7.928570,7.714290,7.928570,7.882067,3397240
2017-03-03,8.000000,8.500000,8.000000,8.428570,8.379135,7639660
2017-03-06,8.428570,8.714290,8.214290,8.214290,8.166111,4325440
2017-03-07,8.214290,8.357140,8.000000,8.214290,8.166111,1705200
2017-03-08,8.071430,8.214290,7.857140,8.000000,7.953079,1806420
2017-03-09,7.928570,8.142860,7.857140,8.142860,8.095101,762860
2017-03-10,8.071430,8.214290,8.071430,8.071430,8.024090,737380
2017-03-13,7.928570,8.071430,7.285710,7.642860,7.598033,3964240
2017-03-14,7.500000,7.785710,7.428570,7.785710,7.740045,2874200
2017-03-15,7.857140,7.928570,7.642860,7.642860,7.598033,1207080
2017-03-16,7.642860,7.857140,7.642860,7.714290,7.669044,1124760
2017-03-17,7.714290,7.785710,7.642860,7.785710,7.740045,622020
2017-03-20,7.714290,7.857140,7.642860,7.785710,7.740045,535640
2017-03-21,7.785710,7.857140,7.714290,7.785710,7.740045,2322880
2017-03-22,7.785710,7.857140,7.714290,7.857140,7.811057,683760
2017-03-23,7.857140,7.857140,7.785710,7.785710,7.740045,902440
2017-03-24,7.714290,7.785710,7.642860,7.642860,7.598033,1858500
2017-03-27,7.714290,7.714290,7.500000,7.714290,7.669044,1076600
2017-03-28,7.714290,7.714290,7.428570,7.500000,7.456011,4241720
2017-03-29,7.500000,8.214290,7.500000,8.000000,7.953079,6978860
2017-03-30,8.000000,9.357140,7.857140,9.071430,9.018225,31781540
2017-03-31,9.142860,9.500000,8.857140,9.000000,8.947214,16485980
2017-04-03,9.142860,9.214290,8.857140,9.000000,8.947214,9857680
2017-04-04,8.928570,8.928570,8.642860,8.642860,8.592169,5789700
2017-04-05,8.785710,9.285710,8.714290,8.928570,8.876202,16296980
2017-04-07,8.928570,9.000000,8.785710,9.000000,8.947214,2674980
2017-04-10,9.071430,9.285710,8.928570,9.142860,9.089235,4707080
2017-04-11,9.142860,9.142860,8.642860,8.714290,8.663178,5662440
2017-04-12,8.785710,8.928570,8.714290,8.928570,8.876202,3215800
2017-04-17,8.928570,9.450000,8.928570,9.400000,9.374866,6038900
2017-04-18,9.500000,10.100000,9.500000,10.000000,9.973262,10918100
2017-04-19,10.100000,10.100000,9.700000,9.750000,9.723930,6437100
2017-04-20,9.800000,9.900000,9.650000,9.650000,9.624197,2412100
2017-04-21,9.700000,10.500000,9.700000,10.200000,10.172727,14667200
2017-04-24,10.200000,10.700000,10.100000,10.400000,10.372192,6198200
2017-04-25,10.500000,10.600000,10.000000,10.300000,10.272460,3406800
2017-04-26,10.400000,11.100000,10.400000,11.100000,11.070321,5274600
2017-04-27,11.300000,11.500000,11.000000,11.000000,10.970588,5729300
2017-04-28,11.100000,11.200000,10.600000,10.900000,10.870855,4763800
2017-05-02,10.900000,11.300000,10.800000,10.800000,10.771123,3530700
2017-05-03,10.900000,11.200000,10.800000,11.000000,10.970588,3931400
2017-05-04,11.000000,11.800000,10.900000,11.500000,11.469252,10056600
2017-05-08,11.300000,11.600000,10.900000,11.000000,10.970588,10965900
2017-05-09,11.000000,11.200000,10.400000,10.400000,10.372192,6708700
2017-05-11,10.400000,10.600000,9.800000,9.850000,9.823664,7362700
2017-05-12,9.700000,10.400000,9.400000,10.400000,10.372192,6743000
2017-05-15,10.400000,10.400000,10.400000,10.400000,10.372192,262300
2017-05-16,10.400000,10.700000,10.300000,10.500000,10.471925,3969700
2017-05-17,10.600000,11.000000,10.500000,10.900000,10.870855,7819400
